FTIR_ID,Sample_ID,Site,CoreID,Depth,carbohydate,carboxylate,carbo_ratio,aromaticC,aliphaticC,aroali_ratio,hydroxyl,polysaccharide,hydroxylaro_ratio,polyaro_ratio
WHRC03214,SW1601_0,Fertilized,SW1601,0,0.9411162,0.9963809,0.944534565,1.038008,1.032785,0.994968247,0.8276951,0.933647,0.797387978,0.899460312
WHRC03215,SW1601_10,Fertilized,SW1601,10,0.9298598,0.8664585,1.073172922,0.8899537,0.9083289,1.020647366,0.7697142,0.9293932,0.86489241,1.04431635
WHRC03216,SW1601_20,Fertilized,SW1601,20,0.826473,0.8171537,1.011404586,0.8453405,0.8534319,1.009571764,0.6622615,0.8311324,0.783425732,0.983192453
WHRC03217,SW1601_30,Fertilized,SW1601,30,0.8257724,0.8491613,0.97245647,0.8336855,0.9013959,1.081218157,0.7462493,0.8315376,0.895120882,0.997423609
WHRC03218,SW1601_40,Fertilized,SW1601,40,0.8205817,0.9589262,0.855729774,0.9655116,0.9754553,1.010298892,0.7626386,0.8156061,0.789880308,0.844739825
WHRC03219,SW1601_50,Fertilized,SW1601,50,0.9218085,1.004042,0.91809755,0.9807122,1.012122,1.032027541,0.804121,0.9147074,0.819935757,0.932697075
WHRC03220,SW1601_60,Fertilized,SW1601,60,0.756307,0.9640287,0.784527473,0.9668168,0.9279484,0.959797554,0.6623696,0.742211,0.685103527,0.767685253
WHRC03221,SW1601_70,Fertilized,SW1601,70,0.9042526,0.9408518,0.961099931,0.9088963,0.9471377,1.042074547,0.7820879,0.909923,0.860480893,1.001129612
WHRC03222,SW1601_80,Fertilized,SW1601,80,0.9858079,1.008983,0.977031228,0.9723577,1.032238,1.061582584,0.8472643,0.9874806,0.87135043,1.015552816
WHRC03223,SW1601_90,Fertilized,SW1601,90,0.8735027,0.9508617,0.918643269,0.9374161,0.9424267,1.005345118,0.7704434,0.8676248,0.821879846,0.925549284
WHRC03224,SW1601_100,Fertilized,SW1601,100,0.883401,0.9665929,0.913932846,0.9147514,0.9460698,1.034237062,0.7540098,0.8790516,0.824278378,0.960973222
WHRC03225,SW1601_110,Fertilized,SW1601,110,0.8446137,0.9462155,0.892622981,0.9419545,0.9057468,0.961561095,0.6766514,0.8308347,0.718348285,0.882032731
WHRC03226,SW1601_120,Fertilized,SW1601,120,0.8799821,0.9699088,0.907283345,0.9179317,0.9469644,1.031628388,0.7223438,0.869295,0.786925432,0.947014903
WHRC03227,SW1601_130,Fertilized,SW1601,130,0.9609951,1.043726,0.92073504,0.9856707,1.031239,1.046230754,0.868291,0.9685072,0.880913879,0.982586984
WHRC03228,SW1601_140,Fertilized,SW1601,140,0.8063896,0.912976,0.883253886,0.9302139,0.8586442,0.923061029,0.6421038,0.7869411,0.69027543,0.845978651
WHRC03229,SW1601_150,Fertilized,SW1601,150,0.8590944,0.9033422,0.951017676,0.9292464,0.8609376,0.926490111,0.6311612,0.8401508,0.679218343,0.904120586
WHRC03230,SW1601_160,Fertilized,SW1601,160,0.7207936,0.8528525,0.845156226,0.903778,0.8021151,0.887513416,0.5572067,0.6943611,0.616530498,0.768287234
WHRC03231,SW1601_170,Fertilized,SW1601,170,0.7461423,0.8872222,0.840986959,0.9256214,0.8178653,0.883585125,0.5439162,0.7270559,0.587622758,0.785478707
WHRC03232,SW1601_180,Fertilized,SW1601,180,0.9063648,0.9440392,0.960092335,0.8928798,0.9445244,1.057840484,0.8439988,0.9154817,0.945254669,1.025313486
WHRC03233,SW1601_190,Fertilized,SW1601,190,0.8006482,0.9904785,0.808344856,0.9822779,0.956105,0.973354893,0.7235744,0.7903509,0.736629013,0.804610284
WHRC03234,SW1601_200,Fertilized,SW1601,200,0.9976395,1.011566,0.986232732,0.9452602,1.008526,1.066929508,0.9861783,1.018943,1.043287658,1.077949754
WHRC03235,SW1601_210,Fertilized,SW1601,210,1.0268,1.041423,0.985958635,0.9797901,1.0286,1.04981669,0.902438,1.040649,0.921052376,1.062114222
WHRC03236,SW1601_220,Fertilized,SW1601,220,0.9258142,1.024845,0.903369973,0.9849827,0.9979599,1.013175054,0.7792749,0.9207392,0.791155926,0.934777027
WHRC03237,SW1601_230,Fertilized,SW1601,230,0.9747437,1.042305,0.935180873,0.9926466,1.034168,1.041828985,0.8159014,0.9762594,0.821945494,0.983491406
WHRC03238,SW1601_240,Fertilized,SW1601,240,0.8291175,0.9652317,0.858982874,0.941345,0.9452319,1.004129092,0.698194,0.8213584,0.741698315,0.872537061
WHRC03239,SW1601_250,Fertilized,SW1601,250,0.9121541,1.000121,0.912043743,0.9432448,0.9848109,1.044067139,0.7461413,0.9049863,0.791036749,0.95943948
WHRC03240,SW1601_260,Fertilized,SW1601,260,0.936933,1.070117,0.875542581,1.047137,1.047327,1.000181447,0.774739,0.9296083,0.739864029,0.887761869
WHRC03241,SW1601_270,Fertilized,SW1601,270,0.8490294,0.960673,0.883786054,1.001091,0.8946956,0.893720551,0.592381,0.826666,0.591735417,0.82576509
WHRC03242,SW1601_280,Fertilized,SW1601,280,0.7865485,0.8634133,0.910975659,0.9393246,0.8015984,0.853377416,0.5567998,0.7547005,0.592766122,0.80345016
WHRC03243,WE1603_0,Reference,WE1603,0,1.042634,1.047895,0.994979459,1.044639,1.083815,1.03750195,0.8787041,1.038954,0.841155749,0.994557929
WHRC03244,WE1603_10,Reference,WE1603,10,0.7783656,0.7168772,1.08577257,0.7533798,0.7463062,0.990610845,0.558709,0.7644372,0.741603372,1.014677059
WHRC03245,WE1603_20,Reference,WE1603,20,0.9947859,0.8910824,1.116379248,0.8883716,0.9249426,1.041166332,0.8061281,0.9958621,0.907422187,1.120997227
WHRC03246,WE1603_30,Reference,WE1603,30,0.8383567,0.8365097,1.002207984,0.8229461,0.906992,1.102128074,0.7633662,0.8547988,0.927601698,1.038705694
WHRC03247,WE1603_40,Reference,WE1603,40,0.9408145,0.9558682,0.984251281,0.9758811,0.9458916,0.96926931,0.7016462,0.9324298,0.718987385,0.955474801
WHRC03248,WE1503_50,Reference,WE1503,50,0.9481932,1.009735,0.939051533,0.9844073,1.001068,1.0169246,0.7900847,0.9399494,0.802599392,0.954837901
WHRC03249,WE1603_60,Reference,WE1603,60,1.070641,0.9806728,1.091741303,0.9407625,0.98122,1.043005009,0.8764479,1.078064,0.931635668,1.145947038
WHRC03250,WE1603_70,Reference,WE1603,70,0.9901679,0.9189086,1.077547756,0.9411476,0.9328918,0.991227943,0.6738291,0.9882019,0.715965381,1.049996727
