Depth,Site,Paraffin,Methoxy,Carbohydrate,Aromatic C,Sub Aromatic C,O-Sub Aromatic C,Carboxyl
10,Enriched,15.95138953,10.31121804,35.38694056,15.83048024,9.213164307,7.137966133,6.168841183
40,Enriched,23.19281718,10.48939752,27.00103729,13.40061557,10.35676025,7.056983012,8.502389171
80,Enriched,20.93557045,11.10027426,26.87986742,14.80207676,11.44053503,7.508469853,7.333206224
130,Enriched,23.12350219,11.18855533,23.364372,14.43694394,13.0027014,8.785955156,6.097969986
10,Enriched,16.02263856,11.46174863,32.58001561,15.68891491,10.29794431,7.443403591,6.505334374
30,Enriched,16.19218071,10.61766594,35.11347722,15.56172362,9.857780609,7.601381242,5.05579065
40,Enriched,20.05277045,11.35210813,35.09934845,14.30940714,7.956491304,5.845134888,5.384739648
80,Enriched,25.25980807,9.928468429,20.76972801,14.08539747,12.97157916,9.88158577,7.103433089
130,Enriched,18.8089172,11.61146497,27.60754532,15.55316022,12.52817246,8.991180794,4.89955904
10,Enriched,18.04897234,11.21508636,32.39213133,14.73713476,9.468980342,7.356700639,6.780994229
30,Enriched,18.54313556,12.12085106,36.09264833,14.03660552,8.299703156,5.726541333,5.180515047
40,Enriched,24.46051039,10.88554954,26.94541152,13.21108322,10.39718747,7.260452932,6.839804929
80,Enriched,24.02401676,10.97832976,27.83457272,13.79318687,10.73061459,7.801092463,4.838186841
